term,PR,ci_lo,ci_hi,SE_logPR,p,p_fmt,race_eth,n,suppressed
education_fHigh school/GED,0.8347483079854199,0.5874751877878674,1.1861007105820647,0.1792327756511117,0.3373281954745021,3.3732819547e-01,Other/Multi,499,FALSE
uninsuredTRUE,0.948057744143847,0.5916278275102755,1.5192211123901356,0.24058043086835101,0.8289992146265227,8.2899921463e-01,Other/Multi,499,FALSE
bmi5,1.1241461091189229,1.0078364338183328,1.25387853846431,0.055723390254025576,0.0620686056297187,6.2068605630e-02,Other/Multi,499,FALSE
smoking_fFormer,1.0413310437065193,0.7017327490378228,1.5452753830767305,0.20137877111154287,0.8446424949204825,8.4464249492e-01,Other/Multi,499,FALSE
smoking_fCurrent,0.8501562634331559,0.359485994395716,2.0105530772334275,0.43915558881855793,0.7193490252209174,7.1934902522e-01,Other/Multi,499,FALSE
alcohol_fModerate,0.8675987310909664,0.5619068368463099,1.3395949449829125,0.22162920968612032,0.5360435850250338,5.3604358503e-01,Other/Multi,499,FALSE
alcohol_fHeavy,0.8396293306406644,0.48946179388495953,1.4403114230357768,0.2753337315224821,0.5397808319316657,5.3978083193e-01,Other/Multi,499,FALSE
egfr_cat_f30-59,0.3567275444226964,0.13362590243188543,0.9523194128826457,0.5009837687406659,0.06666382240767776,6.6663822408e-02,Other/Multi,499,FALSE
egfr_cat_f<30,0.8758536231990903,0.22413200514195014,3.4226239522781774,0.6953896904179481,0.8526363444598304,8.5263634446e-01,Other/Multi,499,FALSE
uacr_cat_fA2,1.6368559401561151,1.222925444798296,2.190891832548526,0.14874050930549365,0.007839524509999748,7.8395245100e-03,Other/Multi,499,FALSE
uacr_cat_fA3,2.575917398855101,1.1038897214229642,6.01088162789591,0.4323294332734798,0.05346038702439629,5.3460387024e-02,Other/Multi,499,FALSE
hba1c,0.7852300479853385,0.6295087994100254,0.979471976939672,0.11277392745431657,0.05765242925144328,5.7652429251e-02,Other/Multi,499,FALSE
antihtn_drug_classes,0.8834220398298736,0.6846584429478929,1.1398888138980723,0.13004232512478878,0.36297606904890145,3.6297606905e-01,Other/Multi,499,FALSE
ckm_stage_f3,0.9340399250196959,0.4293269212155299,2.032089157280736,0.3965818881435441,0.8668221776071313,8.6682217761e-01,Other/Multi,499,FALSE
ckm_stage_f4,1.1186647133510232,0.6761825494124976,1.8506995514510354,0.25685099474976786,0.6716923772440402,6.7169237724e-01,Other/Multi,499,FALSE
diet_sodium_500,0.9888530394908424,0.9495256750443077,1.0298092609919673,0.02070569134976627,0.6001012829513177,6.0010128295e-01,Other/Multi,499,FALSE
cotinine_log,1.0586721333149502,0.9015118834234113,1.243230074351921,0.08198850663552089,0.5026393898196716,5.0263938982e-01,Other/Multi,499,FALSE
pa_met_min_wk_1000,0.9951114770748306,0.9709090445741114,1.01991721813697,0.012562232730358799,0.7046436206895741,7.0464362069e-01,Other/Multi,499,FALSE
